producto;cantidad;precio_unitario;fecha
mouse;2;15000;2026-04-01
teclado;1;32000;2026-04-01
auriculares;2;23000;2026-04-02
Cable ethernet 5m;3;5000;2026-04-02
monitor 24";1;185000;2026-04-03
webcam hd;2;27000;2026-04-03
pads 50x30cm;2;18000;2026-04-04
mouse gamer;1;28000;2026-04-04
hub usb 4 puertos;4;9000;2026-04-05
soporte notebook;2;16000;2026-04-05
disco ssd 1tb;1;95000;2026-04-06
microfono usb;1;54000;2026-04-06
parlantes usb;2;21000;2026-04-07
adaptador bluetooth;3;12000;2026-04-07
cooler notebook;1;31000;2026-04-08
teclado mecanico;1;89000;2026-04-08
mousepad xl;2;25000;2026-04-09
camara seguridad wifi;1;67000;2026-04-09
impresora multifuncion;1;210000;2026-04-10
mouse;3;15000;2026-04-10
teclado;2;32000;2026-04-11
auriculares;1;23000;2026-04-11
Cable ethernet 5m;5;5000;2026-04-12
webcam hd;1;27000;2026-04-12
monitor 24";1;185000;2026-04-13
mouse gamer;2;28000;2026-04-13
hub usb 4 puertos;2;9000;2026-04-14
soporte notebook;1;16000;2026-04-14
disco ssd 1tb;2;95000;2026-04-15
microfono usb;1;54000;2026-04-15
parlantes usb;1;21000;2026-04-16
adaptador bluetooth;2;12000;2026-04-16
cooler notebook;2;31000;2026-04-17
teclado mecanico;1;89000;2026-04-17
mousepad xl;3;25000;2026-04-18
camara seguridad wifi;2;67000;2026-04-18
impresora multifuncion;1;210000;2026-04-19
mouse;2;15000;2026-04-19
teclado;1;32000;2026-04-20
auriculares;2;23000;2026-04-20
Cable ethernet 5m;4;5000;2026-04-21
webcam hd;2;27000;2026-04-21
monitor 24";1;185000;2026-04-22
mouse gamer;1;28000;2026-04-22
hub usb 4 puertos;5;9000;2026-04-23
soporte notebook;2;16000;2026-04-23
disco ssd 1tb;1;95000;2026-04-24
microfono usb;2;54000;2026-04-24
parlantes usb;1;21000;2026-04-25
adaptador bluetooth;4;12000;2026-04-25
cooler notebook;1;31000;2026-04-26
teclado mecanico;2;89000;2026-04-26
mousepad xl;2;25000;2026-04-27
camara seguridad wifi;1;67000;2026-04-27
impresora multifuncion;1;210000;2026-04-28
mouse;4;15000;2026-04-28
teclado;1;32000;2026-04-29
auriculares;3;23000;2026-04-29
Cable ethernet 5m;6;5000;2026-04-30
webcam hd;1;27000;2026-04-30
mouse;2;15000;2026-05-01
teclado;1;32000;2026-05-01
auriculares;2;23000;2026-05-01
Cable ethernet 5m;3;5000;2026-05-02
monitor 24";1;185000;2026-05-02
webcam hd;2;27000;2026-05-02
pads 50x30cm;2;18000;2026-05-03
mouse gamer;1;28000;2026-05-03
hub usb 4 puertos;4;9000;2026-05-03
soporte notebook;2;16000;2026-05-04
disco ssd 1tb;1;95000;2026-05-04
microfono usb;1;54000;2026-05-04
parlantes usb;2;21000;2026-05-05
adaptador bluetooth;3;12000;2026-05-05
cooler notebook;1;31000;2026-05-06
teclado mecanico;1;89000;2026-05-06
mousepad xl;2;25000;2026-05-07
camara seguridad wifi;1;67000;2026-05-07
impresora multifuncion;1;210000;2026-05-08
mouse;3;15000;2026-05-08
teclado;2;32000;2026-05-09
auriculares;1;23000;2026-05-09
Cable ethernet 5m;5;5000;2026-05-10
webcam hd;1;27000;2026-05-10
monitor 24";1;185000;2026-05-11
mouse gamer;2;28000;2026-05-11
hub usb 4 puertos;2;9000;2026-05-12
soporte notebook;1;16000;2026-05-12
disco ssd 1tb;2;95000;2026-05-13
microfono usb;1;54000;2026-05-13
parlantes usb;1;21000;2026-05-14
adaptador bluetooth;2;12000;2026-05-14
cooler notebook;2;31000;2026-05-15
teclado mecanico;1;89000;2026-05-15
mousepad xl;3;25000;2026-05-16
camara seguridad wifi;2;67000;2026-05-16
impresora multifuncion;1;210000;2026-05-17
mouse;2;15000;2026-05-17
teclado;1;32000;2026-05-18
auriculares;2;23000;2026-05-18
Cable ethernet 5m;4;5000;2026-05-19
webcam hd;2;27000;2026-05-19
monitor 24";1;185000;2026-05-20
mouse gamer;1;28000;2026-05-20
hub usb 4 puertos;5;9000;2026-05-21
soporte notebook;2;16000;2026-05-21
disco ssd 1tb;1;95000;2026-05-22
microfono usb;2;54000;2026-05-22
parlantes usb;1;21000;2026-05-23
adaptador bluetooth;4;12000;2026-05-23
cooler notebook;1;31000;2026-05-24
teclado mecanico;2;89000;2026-05-24
mousepad xl;2;25000;2026-05-25
camara seguridad wifi;1;67000;2026-05-25
impresora multifuncion;1;210000;2026-05-26
mouse;4;15000;2026-05-26
teclado;1;32000;2026-05-27
auriculares;3;23000;2026-05-27
Cable ethernet 5m;6;5000;2026-05-28
webcam hd;1;27000;2026-05-28
monitor 24";2;185000;2026-05-29
mouse gamer;2;28000;2026-05-29
hub usb 4 puertos;3;9000;2026-05-30
microfono usb;1;54000;2026-05-30
impresora multifuncion;1;210000;2026-05-31
